iter	Passed	Remaining
0	1	144
1	2	128
2	3	125
3	4	116
4	6	115
5	7	112
6	8	111
7	9	109
8	10	108
9	12	108
10	13	106
11	14	105
12	15	103
13	16	102
14	17	101
15	19	100
16	20	99
17	21	99
18	22	97
19	24	96
20	25	96
21	26	94
22	27	93
23	29	92
24	30	92
25	32	91
26	33	89
27	34	89
28	35	87
29	37	87
30	38	86
31	40	85
32	41	83
33	42	82
34	44	81
35	45	80
36	46	79
37	47	77
38	48	76
39	50	75
40	51	74
41	52	71
42	53	70
43	54	69
44	55	68
45	57	67
46	58	65
47	59	64
48	60	63
49	62	62
50	63	60
51	64	59
52	65	58
53	67	57
54	68	55
55	69	54
56	71	53
57	72	52
58	73	51
59	74	49
60	75	48
61	77	47
62	78	46
63	80	45
64	81	43
65	82	42
66	83	41
67	85	40
68	86	38
69	87	37
70	88	36
71	90	35
72	91	33
73	92	32
74	93	31
75	95	30
76	96	28
77	98	27
78	99	26
79	100	25
80	101	23
81	103	22
82	104	21
83	105	20
84	106	18
85	107	17
86	109	16
87	110	15
88	111	13
89	112	12
90	114	11
91	115	10
92	116	8
93	117	7
94	119	6
95	120	5
96	121	3
97	123	2
98	124	1
99	125	0
